asset_class,gamma,skill,overconfidence,strategy,cagr,cagr_mean,volatility,sharpe,sharpe_p25,sharpe_p75,sortino,max_drawdown,final_multiple,effective_n,turnover,n,beat_risk_only,beat_market_hold,beat_risk_only_cagr,beat_market_hold_cagr
crypto,0.5,0.0,1.0,equal_weight,0.3015600361502324,0.2957061092325421,0.7247088031164944,0.6671626113124558,0.4436515606014521,0.8326901388307049,1.0920152205336455,-0.6799889744219247,2.2041371684032685,5.999999999999999,0.0,40,0.325,0.8,0.425,0.725
crypto,0.5,0.0,1.0,market_hold,0.15454048278050614,0.14887347181156738,0.5407569131006189,0.4647167183994304,0.09941930137308545,0.6126811083368529,0.6574025794918414,-0.6316373148964516,1.538470583910126,1.0,0.0,40,0.2,0.0,0.275,0.0
crypto,0.5,0.0,1.0,risk_only,0.3049447502506074,0.30718076988561993,0.7755090849234769,0.6787087915868288,0.46409168983019555,0.8064427904995038,1.0774265315347145,-0.7093797102938937,2.22077556439964,5.486993130387077,0.01684390937594531,40,0.0,0.8,0.0,0.725
crypto,0.5,0.0,1.0,views_calibrated_conf,0.3303655160001432,0.3224924512482198,0.8058694799359875,0.7055440700286982,0.4718197625273207,0.8275552890278675,1.1309600825402553,-0.7120367493061734,2.3532061335374297,4.180645953194803,0.2899901487615937,40,0.575,0.825,0.525,0.7
crypto,0.5,0.0,1.0,views_full_conf,0.2735910354792831,0.3037885958433516,0.7847194788741868,0.6504487978359152,0.4750360258064404,0.7882579902382774,1.0147131714129092,-0.7201772946719014,2.065163223351684,3.0388482036229743,0.4707890241848316,40,0.475,0.775,0.475,0.725
crypto,0.5,0.0,1.0,views_stated_conf,0.2828660991042683,0.3044904187053946,0.7963912103169559,0.6608518826401047,0.46739311460237715,0.8236513816337316,1.0223182303580134,-0.7156579865471058,2.112132920538703,3.1579560486027205,0.4394580377287593,40,0.475,0.75,0.475,0.725
crypto,0.5,0.0,2.0,equal_weight,0.3015600361502324,0.2957061092325421,0.7247088031164944,0.6671626113124558,0.4436515606014521,0.8326901388307049,1.0920152205336455,-0.6799889744219247,2.2041371684032685,5.999999999999999,0.0,40,0.325,0.8,0.425,0.725
crypto,0.5,0.0,2.0,market_hold,0.15454048278050614,0.14887347181156738,0.5407569131006189,0.4647167183994304,0.09941930137308545,0.6126811083368529,0.6574025794918414,-0.6316373148964516,1.538470583910126,1.0,0.0,40,0.2,0.0,0.275,0.0
crypto,0.5,0.0,2.0,risk_only,0.3049447502506074,0.30718076988561993,0.7755090849234769,0.6787087915868288,0.46409168983019555,0.8064427904995038,1.0774265315347145,-0.7093797102938937,2.22077556439964,5.486993130387077,0.01684390937594531,40,0.0,0.8,0.0,0.725
crypto,0.5,0.0,2.0,views_calibrated_conf,0.3303655160001432,0.3224924512482198,0.8058694799359875,0.7055440700286982,0.4718197625273207,0.8275552890278675,1.1309600825402553,-0.7120367493061734,2.3532061335374297,4.180645953194803,0.2899901487615937,40,0.575,0.825,0.525,0.7
crypto,0.5,0.0,2.0,views_full_conf,0.2735910354792831,0.3037885958433516,0.7847194788741868,0.6504487978359152,0.4750360258064404,0.7882579902382774,1.0147131714129092,-0.7201772946719014,2.065163223351684,3.0388482036229743,0.4707890241848316,40,0.475,0.775,0.475,0.725
crypto,0.5,0.0,2.0,views_stated_conf,0.2821254568974254,0.3098010295572315,0.7862847777209867,0.6632199394673228,0.44961947085330056,0.8740115544081823,1.0143080213936575,-0.7222640611194275,2.106348771820219,3.0719450651429776,0.45729961136208386,40,0.525,0.75,0.55,0.75
crypto,0.5,0.2,1.0,equal_weight,0.3015600361502324,0.2957061092325421,0.7247088031164944,0.6671626113124558,0.4436515606014521,0.8326901388307049,1.0920152205336455,-0.6799889744219247,2.2041371684032685,5.999999999999999,0.0,40,0.325,0.8,0.425,0.725
crypto,0.5,0.2,1.0,market_hold,0.15454048278050614,0.14887347181156738,0.5407569131006189,0.4647167183994304,0.09941930137308545,0.6126811083368529,0.6574025794918414,-0.6316373148964516,1.538470583910126,1.0,0.0,40,0.2,0.0,0.275,0.0
