asset_class,gamma,skill,overconfidence,diag_stated_confidence,diag_mean_calibrated_confidence,diag_final_calibrated_confidence,diag_directional_hit_rate,diag_surprise_hit_rate,diag_views_resolved
equities,0.5,0.0,1.0,0.314,0.0711545415170822,0.05010526315789472,0.5108333333333334,0.4913888888888889,90.0
equities,0.5,0.0,2.0,0.628,0.0711545415170822,0.05010526315789472,0.5108333333333334,0.4913888888888889,90.0
equities,0.5,0.2,1.0,0.38973190358856497,0.15036852845158355,0.1551578947368421,0.5797222222222222,0.5575,90.0
equities,0.5,0.2,2.0,0.7794638071771299,0.15036852845158355,0.1551578947368421,0.5797222222222222,0.5575,90.0
equities,0.5,0.4,1.0,0.4833858326082366,0.23276525976174228,0.2647368421052631,0.6397222222222222,0.6258333333333332,90.0
equities,0.5,0.4,2.0,0.9667716652164732,0.23276525976174228,0.2647368421052631,0.6397222222222222,0.6258333333333332,90.0
equities,1.2,0.0,1.0,0.314,0.0711545415170822,0.05010526315789472,0.5108333333333334,0.4913888888888889,90.0
equities,1.2,0.0,2.0,0.628,0.0711545415170822,0.05010526315789472,0.5108333333333334,0.4913888888888889,90.0
equities,1.2,0.2,1.0,0.38973190358856497,0.15036852845158355,0.1551578947368421,0.5797222222222222,0.5575,90.0
equities,1.2,0.2,2.0,0.7794638071771299,0.15036852845158355,0.1551578947368421,0.5797222222222222,0.5575,90.0
equities,1.2,0.4,1.0,0.4833858326082366,0.23276525976174228,0.2647368421052631,0.6397222222222222,0.6258333333333332,90.0
equities,1.2,0.4,2.0,0.9667716652164732,0.23276525976174228,0.2647368421052631,0.6397222222222222,0.6258333333333332,90.0
equities,2.5,0.0,1.0,0.314,0.0711545415170822,0.05010526315789472,0.5108333333333334,0.4913888888888889,90.0
equities,2.5,0.0,2.0,0.628,0.0711545415170822,0.05010526315789472,0.5108333333333334,0.4913888888888889,90.0
equities,2.5,0.2,1.0,0.38973190358856497,0.15036852845158355,0.1551578947368421,0.5797222222222222,0.5575,90.0
equities,2.5,0.2,2.0,0.7794638071771299,0.15036852845158355,0.1551578947368421,0.5797222222222222,0.5575,90.0
equities,2.5,0.4,1.0,0.4833858326082366,0.23276525976174228,0.2647368421052631,0.6397222222222222,0.6258333333333332,90.0
equities,2.5,0.4,2.0,0.9667716652164732,0.23276525976174228,0.2647368421052631,0.6397222222222222,0.6258333333333332,90.0
equities,5.0,0.0,1.0,0.314,0.0711545415170822,0.05010526315789472,0.5108333333333334,0.4913888888888889,90.0
equities,5.0,0.0,2.0,0.628,0.0711545415170822,0.05010526315789472,0.5108333333333334,0.4913888888888889,90.0
equities,5.0,0.2,1.0,0.38973190358856497,0.15036852845158355,0.1551578947368421,0.5797222222222222,0.5575,90.0
equities,5.0,0.2,2.0,0.7794638071771299,0.15036852845158355,0.1551578947368421,0.5797222222222222,0.5575,90.0
equities,5.0,0.4,1.0,0.4833858326082366,0.23276525976174228,0.2647368421052631,0.6397222222222222,0.6258333333333332,90.0
equities,5.0,0.4,2.0,0.9667716652164732,0.23276525976174228,0.2647368421052631,0.6397222222222222,0.6258333333333332,90.0
equities,8.0,0.0,1.0,0.314,0.0711545415170822,0.05010526315789472,0.5108333333333334,0.4913888888888889,90.0
equities,8.0,0.0,2.0,0.628,0.0711545415170822,0.05010526315789472,0.5108333333333334,0.4913888888888889,90.0
equities,8.0,0.2,1.0,0.38973190358856497,0.15036852845158355,0.1551578947368421,0.5797222222222222,0.5575,90.0
equities,8.0,0.2,2.0,0.7794638071771299,0.15036852845158355,0.1551578947368421,0.5797222222222222,0.5575,90.0
equities,8.0,0.4,1.0,0.4833858326082366,0.23276525976174228,0.2647368421052631,0.6397222222222222,0.6258333333333332,90.0
equities,8.0,0.4,2.0,0.9667716652164732,0.23276525976174228,0.2647368421052631,0.6397222222222222,0.6258333333333332,90.0
