asset_class,gamma,skill,overconfidence,strategy,cagr,cagr_mean,volatility,sharpe,sharpe_p25,sharpe_p75,sortino,max_drawdown,final_multiple,effective_n,turnover,n,beat_risk_only,beat_market_hold,beat_risk_only_cagr,beat_market_hold_cagr
equities,0.5,0.0,1.0,equal_weight,0.12341059365887486,0.12675011450781187,0.2256558477961915,0.46851391738540443,0.3248717034062219,0.642302409312645,0.784591379980037,-0.2855686051005571,1.5920383947690195,5.999999999999999,0.0,40,0.65,0.7,0.375,0.6
equities,0.5,0.0,1.0,market_hold,0.12306716854170785,0.1049495198569231,0.3366874814448674,0.42907420899583437,0.22398392939148923,0.5363240853411446,0.7176054294318316,-0.4283798073581172,1.5901201847861306,1.0,0.0,40,0.425,0.0,0.45,0.0
equities,0.5,0.0,1.0,risk_only,0.14623108783541816,0.1301564876880053,0.28967022274207493,0.46842038986336665,0.238040119142372,0.5958664070602046,0.8030814711359116,-0.3944980183102699,1.7252784376131274,3.1718582918757043,0.02622308178099971,40,0.0,0.575,0.0,0.55
equities,0.5,0.0,1.0,views_calibrated_conf,0.12178252214711272,0.12358582632938384,0.28744943284372165,0.40878830961918716,0.2067550202449893,0.6117074272963743,0.6958661881010113,-0.3907879031643372,1.582862318515196,3.1682683448395395,0.1661899182886231,40,0.475,0.575,0.45,0.6
equities,0.5,0.0,1.0,views_full_conf,0.11828166704344556,0.11162633688351717,0.25858216592993033,0.4057385628447975,0.15816625200137407,0.5481940624920912,0.679530221051257,-0.3634997820878953,1.5633401803758122,3.0488723112420932,0.47475835999671334,40,0.4,0.525,0.375,0.575
equities,0.5,0.0,1.0,views_stated_conf,0.12401433402432482,0.1169522397886011,0.2675274805746185,0.4206507914921872,0.23027962024255022,0.5980040722456735,0.7154059714241777,-0.37499904067188233,1.5955576859889495,3.163036975741599,0.4064423951481886,40,0.475,0.575,0.45,0.55
equities,0.5,0.0,2.0,equal_weight,0.12341059365887486,0.12675011450781187,0.2256558477961915,0.46851391738540443,0.3248717034062219,0.642302409312645,0.784591379980037,-0.2855686051005571,1.5920383947690195,5.999999999999999,0.0,40,0.65,0.7,0.375,0.6
equities,0.5,0.0,2.0,market_hold,0.12306716854170785,0.1049495198569231,0.3366874814448674,0.42907420899583437,0.22398392939148923,0.5363240853411446,0.7176054294318316,-0.4283798073581172,1.5901201847861306,1.0,0.0,40,0.425,0.0,0.45,0.0
equities,0.5,0.0,2.0,risk_only,0.14623108783541816,0.1301564876880053,0.28967022274207493,0.46842038986336665,0.238040119142372,0.5958664070602046,0.8030814711359116,-0.3944980183102699,1.7252784376131274,3.1718582918757043,0.02622308178099971,40,0.0,0.575,0.0,0.55
equities,0.5,0.0,2.0,views_calibrated_conf,0.12178252214711272,0.12358582632938384,0.28744943284372165,0.40878830961918716,0.2067550202449893,0.6117074272963743,0.6958661881010113,-0.3907879031643372,1.582862318515196,3.1682683448395395,0.1661899182886231,40,0.475,0.575,0.45,0.6
equities,0.5,0.0,2.0,views_full_conf,0.11828166704344556,0.11162633688351717,0.25858216592993033,0.4057385628447975,0.15816625200137407,0.5481940624920912,0.679530221051257,-0.3634997820878953,1.5633401803758122,3.0488723112420932,0.47475835999671334,40,0.4,0.525,0.375,0.575
equities,0.5,0.0,2.0,views_stated_conf,0.11095008243806825,0.10939773736334057,0.2598077027814655,0.37599142235322736,0.16519680210306514,0.5392288720616365,0.636962538225111,-0.37380189225984894,1.5226447291174126,3.082782990582705,0.4544953713788008,40,0.4,0.55,0.425,0.55
equities,0.5,0.2,1.0,equal_weight,0.12341059365887486,0.12675011450781187,0.2256558477961915,0.46851391738540443,0.3248717034062219,0.642302409312645,0.784591379980037,-0.2855686051005571,1.5920383947690195,5.999999999999999,0.0,40,0.65,0.7,0.375,0.6
equities,0.5,0.2,1.0,market_hold,0.12306716854170785,0.1049495198569231,0.3366874814448674,0.42907420899583437,0.22398392939148923,0.5363240853411446,0.7176054294318316,-0.4283798073581172,1.5901201847861306,1.0,0.0,40,0.425,0.0,0.45,0.0
equities,0.5,0.2,1.0,risk_only,0.14623108783541816,0.1301564876880053,0.28967022274207493,0.46842038986336665,0.238040119142372,0.5958664070602046,0.8030814711359116,-0.3944980183102699,1.7252784376131274,3.1718582918757043,0.02622308178099971,40,0.0,0.575,0.0,0.55
equities,0.5,0.2,1.0,views_calibrated_conf,0.14174370229528122,0.13676522803399224,0.2801755747169123,0.45912623623051385,0.2996008817552164,0.6171621679886193,0.7617021183647917,-0.37904537420221374,1.6985596154744713,3.1648578378125425,0.27258069601493085,40,0.675,0.65,0.675,0.675
equities,0.5,0.2,1.0,views_full_conf,0.12009732887582192,0.13536993546848022,0.25633564555347244,0.4061506670069778,0.24614267319159325,0.655317630871182,0.6832755283664051,-0.3460131717142554,1.5734067723066882,3.045003438873139,0.4677044196236708,40,0.55,0.65,0.575,0.575
equities,0.5,0.2,1.0,views_stated_conf,0.148012944783813,0.14173210508132716,0.26384401787367195,0.5082721487481696,0.3301595074349572,0.6479641984038076,0.8554582371106927,-0.34359165461508334,1.7360036484098802,3.1416415294371243,0.41687196559232204,40,0.6,0.725,0.55,0.7
equities,0.5,0.2,2.0,equal_weight,0.12341059365887486,0.12675011450781187,0.2256558477961915,0.46851391738540443,0.3248717034062219,0.642302409312645,0.784591379980037,-0.2855686051005571,1.5920383947690195,5.999999999999999,0.0,40,0.65,0.7,0.375,0.6
equities,0.5,0.2,2.0,market_hold,0.12306716854170785,0.1049495198569231,0.3366874814448674,0.42907420899583437,0.22398392939148923,0.5363240853411446,0.7176054294318316,-0.4283798073581172,1.5901201847861306,1.0,0.0,40,0.425,0.0,0.45,0.0
